OLYMPIC_YEAR,SPORT,GENDER,EVENT,MEDAL,NOC,ATHLETE
2016,Swimming,M,Men's 100m Freestyle,Silver,BEL,TIMMERS Pieter
2016,Swimming,M,Men's 100m Freestyle,Bronze,USA,ADRIAN Nathan
2016,Swimming,M,Men's 200m Freestyle,Gold,CHN,SUN Yang
2016,Swimming,M,Men's 200m Freestyle,Silver,RSA,LE CLOS Chad Guy
2016,Swimming,M,Men's 200m Freestyle,Silver,RSA,Bertrand
2016,Swimming,M,Men's 200m Freestyle,Bronze,USA,DWYER Conor
2016,Swimming,M,Men's 400m Freestyle,Gold,AUS,HORTON Mack
2016,Swimming,M,Men's 400m Freestyle,Silver,CHN,SUN Yang
2016,Swimming,M,Men's 400m Freestyle,Bronze,ITA,DETTI Gabriele
2016,Swimming,M,Men's 1500m Freestyle,Gold,ITA,PALTRINIERI Gregorio
2016,Swimming,M,Men's 1500m Freestyle,Silver,USA,JAEGER Connor
2016,Swimming,M,Men's 1500m Freestyle,Bronze,ITA,DETTI Gabriele
2016,Swimming,M,Men's 100m Backstroke,Gold,USA,MURPHY Ryan
2016,Swimming,M,Men's 100m Backstroke,Silver,CHN,XU Jiayu
2016,Swimming,M,Men's 100m Backstroke,Bronze,USA,PLUMMER David
2016,Swimming,M,Men's 200m Backstroke,Gold,USA,MURPHY Ryan
2016,Swimming,M,Men's 200m Backstroke,Silver,AUS,LARKIN Mitchell
2016,Swimming,M,Men's 200m Backstroke,Bronze,RUS,RYLOV Evgeny
2016,Swimming,M,Men's 100m Breaststroke,Gold,GBR,PEATY Adam
2016,Swimming,M,Men's 100m Breaststroke,Silver,RSA,VAN DER BURGH Cameron
2016,Swimming,M,Men's 100m Breaststroke,Bronze,USA,MILLER Cody
2016,Swimming,M,Men's 200m Breaststroke,Gold,KAZ,BALANDIN Dmitriy
2016,Swimming,M,Men's 200m Breaststroke,Silver,USA,PRENOT Josh
2016,Swimming,M,Men's 200m Breaststroke,Bronze,RUS,CHUPKOV Anton
2016,Swimming,M,Men's 100m Butterfly,Gold,SIN,SCHOOLING Joseph
2016,Swimming,M,Men's 100m Butterfly,Silver,USA,PHELPS Michael
2016,Swimming,M,Men's 100m Butterfly,Silver,HUN,CSEH Laszlo
2016,Swimming,M,Men's 100m Butterfly,Silver,RSA,LE CLOS Chad Guy
2016,Swimming,M,Men's 200m Butterfly,Gold,USA,PHELPS Michael
2016,Swimming,M,Men's 200m Butterfly,Silver,JPN,SAKAI Masato
2016,Swimming,M,Men's 200m Butterfly,Bronze,HUN,KENDERESI Tamas
2016,Swimming,M,Men's 200m Individual Medley,Gold,USA,PHELPS Michael
2016,Swimming,M,Men's 200m Individual Medley,Silver,JPN,HAGINO Kosuke
2016,Swimming,M,Men's 200m Individual Medley,Bronze,CHN,WANG Shun
2016,Swimming,M,Men's 400m Individual Medley,Gold,JPN,HAGINO Kosuke
2016,Swimming,M,Men's 400m Individual Medley,Silver,USA,KALISZ Chase
2016,Swimming,M,Men's 400m Individual Medley,Bronze,JPN,SETO Daiya
2016,Swimming,M,Men's 4 x 100m Freestyle Relay,Gold,USA,United States
2016,Swimming,M,Men's 4 x 100m Freestyle Relay,Silver,FRA,France
2016,Swimming,M,Men's 4 x 100m Freestyle Relay,Bronze,AUS,Australia
2016,Swimming,M,Men's 4 x 200m Freestyle Relay,Gold,USA,United States
2016,Swimming,M,Men's 4 x 200m Freestyle Relay,Silver,GBR,Great Britain
2016,Swimming,M,Men's 4 x 200m Freestyle Relay,Bronze,JPN,Japan
2016,Swimming,M,Men's 4 x 100m Medley Relay,Gold,USA,United States
2016,Swimming,M,Men's 4 x 100m Medley Relay,Silver,GBR,Great Britain
2016,Swimming,M,Men's 4 x 100m Medley Relay,Bronze,AUS,Australia
2016,Synchronised Swimming,X,Duets,Gold,RUS,Ishchenko
2016,Synchronised Swimming,X,Duets,Gold,RUS,Romashina
2016,Synchronised Swimming,X,Duets,Silver,CHN,Huang
2016,Synchronised Swimming,X,Duets,Silver,CHN,Sun
2016,Synchronised Swimming,X,Duets,Bronze,JPN,Inui
2016,Synchronised Swimming,X,Duets,Bronze,JPN,Mitsui
2016,Synchronised Swimming,X,Teams,Gold,RUS,Russian Federation
2016,Synchronised Swimming,X,Teams,Silver,CHN,China
2016,Synchronised Swimming,X,Teams,Bronze,JPN,Japan
2016,Table Tennis,W,Women's Team,Gold,CHN,China
2016,Table Tennis,W,Women's Team,Silver,GER,Germany
2016,Table Tennis,W,Women's Team,Bronze,JPN,Japan
2016,Table Tennis,M,Men's Team,Gold,CHN,China
2016,Table Tennis,M,Men's Team,Silver,JPN,Japan
2016,Table Tennis,M,Men's Team,Bronze,GER,Germany
2016,Table Tennis,W,Women's Singles,Gold,CHN,DING Ning
2016,Table Tennis,W,Women's Singles,Silver,CHN,LI Xiaoxia
2016,Table Tennis,W,Women's Singles,Bronze,PRK,KIM Song
2016,Table Tennis,W,Women's Singles,Bronze,PRK,I
2016,Table Tennis,M,Men's Singles,Gold,CHN,MA Long
2016,Table Tennis,M,Men's Singles,Silver,CHN,ZHANG Jike
2016,Table Tennis,M,Men's Singles,Bronze,JPN,MIZUTANI Jun
2016,Taekwondo,M,Men -58kg,Gold,CHN,ZHAO Shuai
2016,Taekwondo,M,Men -58kg,Silver,THA,HANPRAB Tawin
2016,Taekwondo,M,Men -58kg,Bronze,DOM,PIE Luisito
2016,Taekwondo,M,Men -58kg,Bronze,KOR,KIM Taehun
2016,Taekwondo,M,Men -68kg,Gold,JOR,ABUGHAUSH Ahmad
2016,Taekwondo,M,Men -68kg,Silver,RUS,DENISENKO Alexey
2016,Taekwondo,M,Men -68kg,Bronze,ESP,GONZALEZ BONILLA Joel
2016,Taekwondo,M,Men -68kg,Bronze,KOR,LEE Daehoon
2016,Taekwondo,M,Men -80kg,Gold,CIV,CISSE Cheick Sallah
2016,Taekwondo,M,Men -80kg,Gold,CIV,Junior
2016,Taekwondo,M,Men -80kg,Silver,GBR,MUHAMMAD Lutalo
2016,Taekwondo,M,Men -80kg,Bronze,TUN,OUESLATI Oussama
2016,Taekwondo,M,Men -80kg,Bronze,AZE,BEIGI HARCHEGANI Milad
2016,Taekwondo,M,Men +80kg,Gold,AZE,ISAEV Radik
2016,Taekwondo,M,Men +80kg,Silver,NIG,ISSOUFOU ALFAGA Abdoulrazak
2016,Taekwondo,M,Men +80kg,Bronze,BRA,SIQUEIRA Maicon
2016,Taekwondo,M,Men +80kg,Bronze,KOR,CHA Dongmin
2016,Taekwondo,W,Women -49kg,Gold,KOR,KIM Sohui
2016,Taekwondo,W,Women -49kg,Silver,SRB,BOGDANOVIC Tijana
2016,Taekwondo,W,Women -49kg,Bronze,THA,WONGPATTANAKIT Panipak
2016,Taekwondo,W,Women -49kg,Bronze,AZE,ABAKAROVA Patimat
2016,Taekwondo,W,Women -57kg,Gold,GBR,JONES Jade
2016,Taekwondo,W,Women -57kg,Silver,ESP,CALVO GOMEZ Eva
2016,Taekwondo,W,Women -57kg,Bronze,EGY,WAHBA Hedaya
2016,Taekwondo,W,Women -57kg,Bronze,IRI,ALIZADEH ZENOORIN Kimia
2016,Taekwondo,W,Women -67kg,Gold,KOR,OH Hyeri
2016,Taekwondo,W,Women -67kg,Silver,FRA,NIARE Haby
2016,Taekwondo,W,Women -67kg,Bronze,CIV,GBAGBI Ruth Marie
2016,Taekwondo,W,Women -67kg,Bronze,TUR,ChristelleTATAR Nur
2016,Taekwondo,W,Women +67kg,Gold,CHN,ZHENG Shuyin
2016,Taekwondo,W,Women +67kg,Silver,MEX,ESPINOZA ESPINOZA Maria
2016,Taekwondo,W,Women +67kg,Silver,MEX,del Rosario
2016,Taekwondo,W,Women +67kg,Bronze,USA,GALLOWAY Jackie
2016,Taekwondo,W,Women +67kg,Bronze,GBR,WALKDEN Bianca
2016,Tennis,M,Men's Singles,Gold,GBR,MURRAY Andy
2016,Tennis,M,Men's Singles,Silver,ARG,DEL POTRO Juan Martin
2016,Tennis,M,Men's Singles,Bronze,JPN,NISHIKORI Kei
2016,Tennis,W,Women's Singles,Gold,PUR,PUIG Monica
2016,Tennis,W,Women's Singles,Silver,GER,KERBER Angelique
2016,Tennis,W,Women's Singles,Bronze,CZE,KVITOVA Petra
2016,Tennis,M,Men's Doubles,Gold,ESP,Lopez
2016,Tennis,M,Men's Doubles,Gold,ESP,Nadal
2016,Tennis,M,Men's Doubles,Silver,ROU,Mergea
2016,Tennis,M,Men's Doubles,Silver,ROU,Tecau
2016,Tennis,M,Men's Doubles,Bronze,USA,Sock
2016,Tennis,M,Men's Doubles,Bronze,USA,Johnson
2016,Tennis,W,Women's Doubles,Gold,RUS,Makarova
2016,Tennis,W,Women's Doubles,Gold,RUS,Vesnina
2016,Tennis,W,Women's Doubles,Silver,SUI,Bacsinszky
2016,Tennis,W,Women's Doubles,Silver,SUI,Hingis
2016,Tennis,W,Women's Doubles,Bronze,CZE,Safarova
2016,Tennis,W,Women's Doubles,Bronze,CZE,Strycova
2016,Tennis,X,Mixed Doubles,Gold,USA,Sock
2016,Tennis,X,Mixed Doubles,Gold,USA,Mattek-Sands
2016,Tennis,X,Mixed Doubles,Silver,USA,Williams
2016,Tennis,X,Mixed Doubles,Silver,USA,Ram
2016,Tennis,X,Mixed Doubles,Bronze,CZE,Hradecka
2016,Tennis,X,Mixed Doubles,Bronze,CZE,Stepanek
2016,Trampoline Gymnastics,M,Men,Gold,BLR,HANCHAROU Uladzislau
2016,Trampoline Gymnastics,M,Men,Silver,CHN,DONG Dong
2016,Trampoline Gymnastics,M,Men,Bronze,CHN,GAO Lei
2016,Trampoline Gymnastics,W,Women,Gold,CAN,MACLENNAN Rosannagh
2016,Trampoline Gymnastics,W,Women,Silver,GBR,PAGE Bryony
2016,Trampoline Gymnastics,W,Women,Bronze,CHN,LI Dan
2016,Triathlon,M,Men,Gold,GBR,BROWNLEE Alistair
2016,Triathlon,M,Men,Silver,GBR,BROWNLEE Jonathan
2016,Triathlon,M,Men,Bronze,RSA,SCHOEMAN Henri
2016,Triathlon,W,Women,Gold,USA,JORGENSEN Gwen
2016,Triathlon,W,Women,Silver,SUI,SPIRIG HUG Nicola
2016,Triathlon,W,Women,Bronze,GBR,HOLLAND Vicky
2016,Volleyball,M,Men,Gold,BRA,Brazil
2016,Volleyball,M,Men,Silver,ITA,Italy
2016,Volleyball,M,Men,Bronze,USA,United States
2016,Volleyball,W,Women,Gold,CHN,China
2016,Volleyball,W,Women,Silver,SRB,Serbia
2016,Volleyball,W,Women,Bronze,USA,United States
2016,Water Polo,M,Men,Gold,SRB,Serbia
2016,Water Polo,M,Men,Silver,CRO,Croatia
2016,Water Polo,M,Men,Bronze,ITA,Italy
2016,Water Polo,W,Women,Gold,USA,United States
2016,Water Polo,W,Women,Silver,ITA,Italy
2016,Water Polo,W,Women,Bronze,RUS,Russian Federation
2016,Weightlifting,M,Men's 56kg,Gold,CHN,LONG Qingquan
2016,Weightlifting,M,Men's 56kg,Silver,PRK,OM Yun Chol
2016,Weightlifting,M,Men's 56kg,Bronze,THA,KRUAITHONG Sinphet
2016,Weightlifting,M,Men's 62kg,Gold,COL,FIGUEROA MOSQUERA Oscar Albeiro
2016,Weightlifting,M,Men's 62kg,Silver,INA,IRAWAN Eko Yuli
2016,Weightlifting,M,Men's 62kg,Bronze,KAZ,KHARKI Farkhad
2016,Weightlifting,M,Men's 69kg,Gold,CHN,SHI Zhiyong
2016,Weightlifting,M,Men's 69kg,Silver,TUR,ISMAYILOV Daniyar
2016,Weightlifting,M,Men's 69kg,Bronze,COL,MOSQUERA LOZANO Luis Javier
2016,Weightlifting,M,Men's 77kg,Gold,KAZ,RAHIMOV Nijat
2016,Weightlifting,M,Men's 77kg,Silver,CHN,LYU Xiaojun
2016,Weightlifting,M,Men's 77kg,Bronze,EGY,MAHMOUD Mohamed
2016,Weightlifting,M,Men's 85kg,Gold,IRI,ROSTAMI Kianoush
2016,Weightlifting,M,Men's 85kg,Silver,CHN,TIAN Tao
2016,Weightlifting,M,Men's 85kg,Bronze,ROU,SINCRAIAN Gabriel
2016,Weightlifting,M,Men's 94kg,Gold,IRI,MORADI Sohrab
2016,Weightlifting,M,Men's 94kg,Silver,BLR,STRALTSOU Vadzim
2016,Weightlifting,M,Men's 94kg,Bronze,LTU,DIDZBALIS Aurimas
2016,Weightlifting,M,Men's 105kg,Gold,UZB,NURUDINOV Ruslan
2016,Weightlifting,M,Men's 105kg,Silver,ARM,MARTIROSYAN Simon
2016,Weightlifting,M,Men's 105kg,Bronze,KAZ,ZAICHIKOV Alexandr
2016,Weightlifting,M,Men's +105kg,Gold,GEO,TALAKHADZE Lasha
2016,Weightlifting,M,Men's +105kg,Silver,ARM,MINASYAN Gor
2016,Weightlifting,M,Men's +105kg,Bronze,GEO,TURMANIDZE Irakli
2016,Weightlifting,W,Women's 48kg,Gold,THA,TANASAN Sopita
2016,Weightlifting,W,Women's 48kg,Silver,INA,AGUSTIANI Sri Wahyuni
2016,Weightlifting,W,Women's 48kg,Bronze,JPN,MIYAKE Hiromi
2016,Weightlifting,W,Women's 53kg,Gold,TPE,HSU Shu-Ching
2016,Weightlifting,W,Women's 53kg,Silver,PHI,DIAZ Hidilyn
2016,Weightlifting,W,Women's 53kg,Bronze,KOR,YOON Jin Hee
2016,Weightlifting,W,Women's 58kg,Gold,THA,SRISURAT Sukanya
2016,Weightlifting,W,Women's 58kg,Silver,THA,SIRIKAEW Pimsiri
2016,Weightlifting,W,Women's 58kg,Bronze,TPE,KUO Hsing-Chun
2016,Weightlifting,W,Women's 63kg,Gold,CHN,DENG Wei
2016,Weightlifting,W,Women's 63kg,Silver,PRK,CHOE Hyo Sim
2016,Weightlifting,W,Women's 63kg,Bronze,KAZ,GORICHEVA Karina
2016,Weightlifting,W,Women's 69kg,Gold,CHN,XIANG Yanmei
2016,Weightlifting,W,Women's 69kg,Silver,KAZ,ZHAPPARKUL Zhazira
2016,Weightlifting,W,Women's 69kg,Bronze,EGY,AHMED Sara
2016,Weightlifting,W,Women's 75kg,Gold,PRK,RIM Jong Sim
2016,Weightlifting,W,Women's 75kg,Silver,BLR,NAUMAVA Darya
2016,Weightlifting,W,Women's 75kg,Bronze,ESP,VALENTIN PEREZ Lidia
2016,Weightlifting,W,Women's +75kg,Gold,CHN,MENG Suping
2016,Weightlifting,W,Women's +75kg,Silver,PRK,KIM Kuk Hyang
2016,Weightlifting,W,Women's +75kg,Bronze,USA,ROBLES Sarah Elizabeth
2016,Wrestling,M,Men's Greco-Roman 59 kg,Gold,CUB,BORRERO MOLINA Ismael
2016,Wrestling,M,Men's Greco-Roman 59 kg,Silver,JPN,OTA Shinobu
2016,Wrestling,M,Men's Greco-Roman 59 kg,Bronze,NOR,BERGE Stig-Andre
2016,Wrestling,M,Men's Greco-Roman 59 kg,Bronze,UZB,TASMURADOV Elmurat
2016,Wrestling,M,Men's Greco-Roman 66 kg,Gold,SRB,STEFANEK Davor
2016,Wrestling,M,Men's Greco-Roman 66 kg,Silver,ARM,ARUTYUNYAN Migran
2016,Wrestling,M,Men's Greco-Roman 66 kg,Bronze,AZE,CHUNAYEV Rasul
2016,Wrestling,M,Men's Greco-Roman 66 kg,Bronze,GRO,BOLKVADZE Shmagi
2016,Wrestling,M,Men's Greco-Roman 75 kg,Gold,RUS,VLASOV Roman
2016,Wrestling,M,Men's Greco-Roman 75 kg,Silver,DEN,MADSEN Mark Overgaard
2016,Wrestling,M,Men's Greco-Roman 75 kg,Bronze,IRI,ABDVALI Saeid Morad
2016,Wrestling,M,Men's Greco-Roman 75 kg,Bronze,KOR,KIM Hyeonwoo
2016,Wrestling,M,Men's Greco-Roman 85 kg,Gold,RUS,CHAKVETADZE Davit
2016,Wrestling,M,Men's Greco-Roman 85 kg,Silver,UKR,BELENIUK Zhan
2016,Wrestling,M,Men's Greco-Roman 85 kg,Bronze,BLR,HAMZATAU Javid
2016,Wrestling,M,Men's Greco-Roman 85 kg,Bronze,GER,KUDLA Denis Maksymilian
2016,Wrestling,M,Men's Greco-Roman 98 kg,Gold,ARM,ALEKSANYAN Artur
2016,Wrestling,M,Men's Greco-Roman 98 kg,Silver,CUB,LUGO CABRERA Yasmany Daniel
2016,Wrestling,M,Men's Greco-Roman 98 kg,Bronze,TUR,ILDEM Cenk
2016,Wrestling,M,Men's Greco-Roman 98 kg,Bronze,IRI,REZAEI Ghasem Gholamreza
2016,Wrestling,M,Men's Greco-Roman 130 kg,Gold,CUB,LOPEZ NUNEZ Mijain
2016,Wrestling,M,Men's Greco-Roman 130 kg,Silver,TUR,KAYAALP Riza
2016,Wrestling,M,Men's Greco-Roman 130 kg,Bronze,RUS,SEMENOV Sergey
2016,Wrestling,M,Men's Greco-Roman 130 kg,Bronze,AZE,SHARIATI Sabah
2016,Wrestling,M,Men's Freestyle 57 kg,Gold,GEO,KHINCHEGASHVILI Vladimer
2016,Wrestling,M,Men's Freestyle 57 kg,Silver,JPN,HIGUCHI Rei
2016,Wrestling,M,Men's Freestyle 57 kg,Bronze,IRI,RAHIMI Hassan Sabzali
2016,Wrestling,M,Men's Freestyle 57 kg,Bronze,AZE,ALIYEV Haji
2016,Wrestling,M,Men's Freestyle 65 kg,Gold,RUS,RAMONOV Soslan
2016,Wrestling,M,Men's Freestyle 65 kg,Silver,AZE,ASGAROV Toghrul
2016,Wrestling,M,Men's Freestyle 65 kg,Bronze,UZB,NAVRUZOV Ikhtiyor
2016,Wrestling,M,Men's Freestyle 65 kg,Bronze,ITA,CHAMIZO MARQUEZ Frank
2016,Wrestling,M,Men's Freestyle 74 kg,Gold,IRI,YAZDANICHARATI Hassan Aliazam
2016,Wrestling,M,Men's Freestyle 74 kg,Silver,RUS,GEDUEV Aniuar
2016,Wrestling,M,Men's Freestyle 74 kg,Bronze,AZE,HASANOV Jabrayil
2016,Wrestling,M,Men's Freestyle 74 kg,Bronze,TUR,DEMIRTAS Soner
2016,Wrestling,M,Men's Freestyle 86 kg,Gold,RUS,SADULAEV Abdulrashid
2016,Wrestling,M,Men's Freestyle 86 kg,Silver,TUR,YASAR Selim
2016,Wrestling,M,Men's Freestyle 86 kg,Bronze,AZE,SHARIFOV Sharif
2016,Wrestling,M,Men's Freestyle 86 kg,Bronze,USA,COX J'den Michael Tbory
2016,Wrestling,M,Men's Freestyle 97 kg,Gold,USA,SNYDER Kyle Frederick
2016,Wrestling,M,Men's Freestyle 97 kg,Silver,AZE,GOZIUMOV Khetag
2016,Wrestling,M,Men's Freestyle 97 kg,Bronze,ROU,SARITOV Albert
2016,Wrestling,M,Men's Freestyle 97 kg,Bronze,UAB,IBRAGIMOV Magomed Idrisovitch
2016,Wrestling,M,Men's Freestyle 125 kg,Gold,TUR,AKGUL Taha
2016,Wrestling,M,Men's Freestyle 125 kg,Silver,IRI,GHASEMI Komeil Nemat
2016,Wrestling,M,Men's Freestyle 125 kg,Bronze,GEO,PETRIASHVILI Geno
2016,Wrestling,M,Men's Freestyle 125 kg,Bronze,BLR,SAIDAU Ibrahim
2016,Wrestling,W,Women's Freestyle 48 kg,Gold,JPN,TOSAKA Eri
2016,Wrestling,W,Women's Freestyle 48 kg,Silver,AZE,STADNIK Mariya
2016,Wrestling,W,Women's Freestyle 48 kg,Bronze,CHN,SUN Yanan
2016,Wrestling,W,Women's Freestyle 48 kg,Bronze,BUL,YANKOVA Elitsa Atanasova
2016,Wrestling,W,Women's Freestyle 53 kg,Gold,USA,MAROULIS Helen Louise
2016,Wrestling,W,Women's Freestyle 53 kg,Silver,JPN,YOSHIDA Saori
2016,Wrestling,W,Women's Freestyle 53 kg,Bronze,AZE,SINISHIN Natalya
2016,Wrestling,W,Women's Freestyle 53 kg,Bronze,SWE,MATTSSON Sofia Magdalena
2016,Wrestling,W,Women's Freestyle 58 kg,Gold,JPN,ICHO Kaori
2016,Wrestling,W,Women's Freestyle 58 kg,Silver,RUS,KOBLOVA ZHOLOBOVA Valeriia
2016,Wrestling,W,Women's Freestyle 58 kg,Bronze,IND,MALIK Sakshi
2016,Wrestling,W,Women's Freestyle 58 kg,Bronze,TUN,AMRI Marwa
2016,Wrestling,W,Women's Freestyle 63 kg,Gold,JPN,KAWAI Risako
2016,Wrestling,W,Women's Freestyle 63 kg,Silver,BLR,MAMASHUK Maryia
2016,Wrestling,W,Women's Freestyle 63 kg,Bronze,POL,MICHALIK Monika Ewa
2016,Wrestling,W,Women's Freestyle 63 kg,Bronze,KAZ,LARIONOVA Yekaterina
2016,Wrestling,W,Women's Freestyle 69 kg,Gold,JPN,DOSHO Sara
2016,Wrestling,W,Women's Freestyle 69 kg,Silver,RUS,VOROBEVA Natalia
2016,Wrestling,W,Women's Freestyle 69 kg,Bronze,KAZ,SYZDYKOVA Elmira
2016,Wrestling,W,Women's Freestyle 69 kg,Bronze,SWE,FRANSSON Anna Jenny
2016,Wrestling,W,Women's Freestyle 75 kg,Gold,CAN,WIEBE Erica Elizabeth
2016,Wrestling,W,Women's Freestyle 75 kg,Silver,KAZ,MANYUROVA Guzel
2016,Wrestling,W,Women's Freestyle 75 kg,Bronze,CHN,ZHANG Fengliu
2016,Wrestling,W,Women's Freestyle 75 kg,Bronze,RUS,BUKINA Ekaterina
